,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,POPULATION,GDP,GDP_PER_CAPITA
96,2002_WASHINGTON,WASHINGTON,2002,1009200.0,8250593.0,640386.0,5194962.0,2415245.0,8362656.0,4182265.0,2430537.0,382728.0,1037135.0,,,224.0,268.0,6052349,310321.5,0.0512729024714206
97,2002_WEST_VIRGINIA,WEST_VIRGINIA,2002,282145.0,2413744.0,258017.0,1451026.0,704701.0,2427316.0,1346601.0,710125.0,163018.0,194544.0,,,219.0,264.0,1805414,62797.6,0.034782936212968324
98,2002_WISCONSIN,WISCONSIN,2002,875216.0,8624767.0,450159.0,4682300.0,3492308.0,8863966.0,4642886.0,2601068.0,325160.0,863118.0,,,,,5445162,241068.4,0.0442720345143083
99,2002_WYOMING,WYOMING,2002,87897.0,908719.0,75498.0,443525.0,389696.0,868607.0,463839.0,272836.0,27488.0,92550.0,,,221.0,265.0,500017,29917.0,0.05983196571316575
100,2003_ALABAMA,ALABAMA,2003,727900.0,5196054.0,567704.0,2966981.0,1661369.0,5298932.0,2817111.0,1521462.0,424662.0,432279.0,223.0,262.0,207.0,253.0,4503491,165250.5,0.036693867046697776
101,2003_ALASKA,ALASKA,2003,133303.0,1425948.0,259423.0,813371.0,353154.0,1610289.0,763525.0,514052.0,55715.0,247005.0,233.0,279.0,212.0,256.0,648414,42132.7,0.0649780849889114
102,2003_ARIZONA,ARIZONA,2003,875111.0,6529894.0,740579.0,2912629.0,2876686.0,6210287.0,2810907.0,1964229.0,303924.0,864642.0,229.0,271.0,209.0,255.0,5510364,233339.1,0.042345496595143264
103,2003_ARKANSAS,ARKANSAS,2003,450158.0,3241275.0,379947.0,2394336.0,466992.0,3242799.0,1768713.0,972598.0,170767.0,247245.0,229.0,266.0,214.0,258.0,2724816,96714.2,0.03549384618998127
104,2003_CALIFORNIA,CALIFORNIA,2003,6226552.0,59815855.0,5795655.0,33617766.0,20402434.0,59749885.0,29561563.0,17030335.0,2995767.0,7341541.0,227.0,267.0,206.0,251.0,35253159,1829296.5,0.051890285917355665
105,2003_COLORADO,COLORADO,2003,751049.0,6297242.0,400219.0,2715219.0,3181804.0,6685029.0,3168745.0,2149761.0,236480.0,821129.0,235.0,283.0,224.0,268.0,4528732,238843.8,0.05273966311099884
106,2003_CONNECTICUT,CONNECTICUT,2003,548466.0,6959891.0,351001.0,2481901.0,4126989.0,6751815.0,3721466.0,1951609.0,252325.0,539870.0,241.0,284.0,228.0,267.0,3484336,222125.2,0.06374964986155182
107,2003_DELAWARE,DELAWARE,2003,111282.0,1242436.0,91986.0,794472.0,355978.0,1317447.0,673997.0,367660.0,53399.0,171247.0,236.0,277.0,224.0,265.0,818003,57916.4,0.07080218532205872
108,2003_FLORIDA,FLORIDA,2003,2536699.0,19549835.0,1956803.0,8689141.0,8903891.0,20180142.0,9622598.0,5938231.0,1225274.0,2924134.0,234.0,271.0,218.0,257.0,17004085,714958.5,0.04204627887945749
109,2003_GEORGIA,GEORGIA,2003,1495819.0,13524807.0,1051973.0,6551699.0,5921135.0,13516783.0,7352918.0,3615906.0,649880.0,1705482.0,230.0,270.0,214.0,258.0,8622793,410866.0,0.047648830257203206
110,2003_HAWAII,HAWAII,2003,183829.0,2078877.0,170377.0,1873318.0,35182.0,1602392.0,888473.0,521929.0,128941.0,63049.0,227.0,266.0,208.0,251.0,1251154,60828.5,0.04861791594000419
111,2003_IDAHO,IDAHO,2003,248515.0,1685984.0,162530.0,994022.0,529432.0,1726941.0,924434.0,510284.0,69672.0,185850.0,235.0,280.0,218.0,264.0,1363380,48624.8,0.035664891666299936
112,2003_ILLINOIS,ILLINOIS,2003,2062664.0,19627346.0,1618724.0,6792637.0,11215985.0,21278177.0,10409933.0,6336325.0,706758.0,2727980.0,233.0,277.0,216.0,266.0,12556006,656380.3,0.05227620152459309
